trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0014_claw_hammer_llm_only_x+0p000_y+0p000,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.0,True,llm_only_target_conditioned_v1,True,True,3,0,0.1828592697756789,0.21464585406016384,74.56666725376134,108.91685030780609,1.0647205635790191,0.1368383130720486,0.12852040033121145,38.0,0.12894109083103403,,,,geometry/replay/trials/0014_claw_hammer_llm_only_x+0p000_y+0p000.json
0015_claw_hammer_llm_only_x+0p350_y+0p000,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,0.0,True,llm_only_target_conditioned_v1,True,True,5,0,0.31388665105251456,0.45369238525067385,74.56666725376134,108.91685030780609,1.0647205635790191,0.27221692049637575,0.2556698253120317,38.0,0.12894109083103403,,,,geometry/replay/trials/0015_claw_hammer_llm_only_x+0p350_y+0p000.json
0016_claw_hammer_llm_only_x-0p350_y+0p200,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.22855991349995788,0.35638093325727,74.56666725376134,108.91685030780609,1.0647205635790191,0.46165623708130993,0.4335938018605271,38.0,0.12894109083103406,,,,geometry/replay/trials/0016_claw_hammer_llm_only_x-0p350_y+0p200.json
0017_claw_hammer_llm_only_x+0p000_y+0p200,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.18433364905367175,0.21127638072403354,74.56666725376134,108.91685030780609,1.0647205635790191,0.15122366734010906,0.14203132024779933,38.0,0.12894109083103403,,,,geometry/replay/trials/0017_claw_hammer_llm_only_x+0p000_y+0p200.json
0018_claw_hammer_llm_only_x+0p350_y+0p200,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.3405998171814005,0.46198374610249276,74.56666725376134,108.91685030780609,1.0647205635790191,0.28560446069003753,0.26824358471108006,38.0,0.12894109083103403,,,,geometry/replay/trials/0018_claw_hammer_llm_only_x+0p350_y+0p200.json
0019_mallet_hammer_predefined,mallet_hammer,hammer,swing_down,predefined,0,mallet_hammer,,,,-0.1397246196175466,0.05058474355746264,False,,True,True,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029646058645299674,,,,geometry/replay/trials/0019_mallet_hammer_predefined.json
0020_mallet_hammer_llm_lie_x-0p350_y-0p200,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.19749999999999998,-0.16,False,,True,True,22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.954967722238531e-09,,,,geometry/replay/trials/0020_mallet_hammer_llm_lie_x-0p350_y-0p200.json
0021_mallet_hammer_llm_lie_x+0p000_y-0p200,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,-0.16,False,,True,True,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0107447140762324e-09,,,,geometry/replay/trials/0021_mallet_hammer_llm_lie_x+0p000_y-0p200.json
0022_mallet_hammer_llm_lie_x+0p350_y-0p200,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.19749999999999998,-0.16,False,,True,True,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6683626015775515e-09,,,,geometry/replay/trials/0022_mallet_hammer_llm_lie_x+0p350_y-0p200.json
0023_mallet_hammer_llm_lie_x-0p350_y+0p000,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.19749999999999998,0.0,False,,True,True,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,,,,geometry/replay/trials/0023_mallet_hammer_llm_lie_x-0p350_y+0p000.json
