trial_id,object_name,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,error
0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,-0.16,False,,True,True,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,-0.16,False,,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.16,False,,True,True,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.16,False,,True,True,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0023_cuboid_hammer_v014_llm_only_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.24855094891699117,0.44530874946768845,74.56666725376134,108.91685030780609,1.0647205635790191,0.5225627390924819,0.49079801496075776,38.0,
0024_cuboid_hammer_v014_llm_only_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.36306473848309184,0.5361173650797488,74.56666725376134,108.91685030780609,1.0647205635790191,0.38830291776303777,0.36469936906052774,38.0,
0025_cuboid_hammer_v014_llm_only_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,5,0,0.2262533720006274,0.3494104115217118,74.56666725376134,108.91685030780609,1.0647205635790191,0.4620838870446153,0.4339954565086423,38.0,
0026_cuboid_hammer_v014_llm_only_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.31200782280613,0.46154527963351033,74.56666725376134,108.91685030780609,1.0647205635790191,0.28772243430727235,0.270232814270163,38.0,
0027_long_screwdriver_predefined,long_screwdriver,spin_vertical,predefined,0,long_screwdriver,,,,-0.0593696929539107,-0.04574792165983691,False,,True,True,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0028_long_screwdriver_llm_lie_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0029_long_screwdriver_llm_lie_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0030_long_screwdriver_llm_lie_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
