trial_id,object_name,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,error
0022_long_screwdriver_llm_lie_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0023_long_screwdriver_llm_only,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,,,,,,True,True,100,0,0.0025210590559553102,0.003999999999999997,0.0,0.0,0.768259752074074,0.7687794164844235,1.0006764175904654,101.0,
0024_short_screwdriver_predefined,short_screwdriver,spin_vertical,predefined,0,short_screwdriver,,,,-0.08168831378190461,-0.043994911527795284,True,True,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0025_short_screwdriver_llm_lie_x-0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0026_short_screwdriver_llm_lie_x+0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0027_short_screwdriver_llm_lie_x-0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0028_short_screwdriver_llm_lie_x+0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0029_short_screwdriver_llm_only,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,,,,,,True,True,76,0,0.002513050028371492,0.0040000000000000036,0.0,0.0,0.5576316390668257,0.5579151730534245,1.0005084610820745,77.0,
0030_cylinder_screwdriver_v3009_predefined,cylinder_screwdriver_v3009,spin_vertical,predefined,0,long_screwdriver,,,,-0.0593696929539107,-0.04574792165983691,True,True,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0031_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0032_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,-0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0033_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0034_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,0.16,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0035_cylinder_screwdriver_v3009_llm_only,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,,,,,,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Errno 2] No such file or directory: '/workspace/dextoolbench/trajectories/screwdriver/cylinder_screwdriver_v3009/spin_vertical.json'
