trial_id,object_name,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,error,replay_artifact_path
0015_mallet_hammer_llm_only_x+0p350_y-0p200,mallet_hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.3581331085512915,0.4944572984131682,71.98580375397485,102.85215039925632,0.6542138327682845,0.3551454294288102,0.5428583310842326,37.0,,geometry/replay/trials/0015_mallet_hammer_llm_only_x+0p350_y-0p200.json
0016_mallet_hammer_llm_only_x-0p350_y+0p200,mallet_hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.28539246874488194,0.37631695465759596,71.98580375397485,102.85215039925632,0.6542138327682845,0.4726126655807713,0.7224131345265603,37.0,,geometry/replay/trials/0016_mallet_hammer_llm_only_x-0p350_y+0p200.json
0017_mallet_hammer_llm_only_x+0p350_y+0p200,mallet_hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.31879530963348857,0.4121675448497301,71.98580375397485,102.85215039925632,0.6542138327682845,0.2822451027093309,0.43142637555525226,37.0,,geometry/replay/trials/0017_mallet_hammer_llm_only_x+0p350_y+0p200.json
0018_cuboid_hammer_v014_predefined,cuboid_hammer_v014,swing_down,predefined,0,claw_hammer,,,,-0.1959162963345168,0.047830040448630005,False,,True,True,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0018_cuboid_hammer_v014_predefined.json
0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,-0.16,False,,True,True,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200.json
0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,-0.16,False,,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200.json
0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.16,False,,True,True,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200.json
0022_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.16,False,,True,True,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0022_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200.json
0023_cuboid_hammer_v014_llm_only_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.28051133322344773,0.4507988645305435,74.56666725376134,108.91685030780609,1.0647205635790191,0.5314170875011146,0.4991141391265851,38.0,,geometry/replay/trials/0023_cuboid_hammer_v014_llm_only_x-0p350_y-0p200.json
0024_cuboid_hammer_v014_llm_only_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.3742794609810598,0.5361173650797488,74.56666725376134,108.91685030780609,1.0647205635790191,0.39077478386898606,0.3670209792468091,38.0,,geometry/replay/trials/0024_cuboid_hammer_v014_llm_only_x+0p350_y-0p200.json
