trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0014_claw_hammer_llm_only_x+0p000_y-0p080,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.08,True,llm_only_target_conditioned_v1,True,True,37,0,0.15099487827467617,0.21949831104572465,0.0,0.0,1.0647205635790191,1.0453984327230976,0.9818523925273211,38.0,0.07975713859956485,,,,geometry/replay/trials/0014_claw_hammer_llm_only_x+0p000_y-0p080.json
0015_claw_hammer_llm_only_x+0p150_y-0p080,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.15,-0.08,True,llm_only_target_conditioned_v1,True,True,37,0,0.1847784131775468,0.29054669235120956,0.0,0.0,1.0647205635790191,1.0324706118450755,0.969710407747234,38.0,0.13611745340970008,,,,geometry/replay/trials/0015_claw_hammer_llm_only_x+0p150_y-0p080.json
0016_claw_hammer_llm_only_x-0p150_y-0p030,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.15,-0.03,True,llm_only_target_conditioned_v1,True,True,37,0,0.08934334702853663,0.1167083941933511,0.0,0.0,1.0647205635790191,1.090827302939248,1.024519803837048,38.0,0.07144140285469029,,,,geometry/replay/trials/0016_claw_hammer_llm_only_x-0p150_y-0p030.json
0017_claw_hammer_llm_only_x+0p000_y-0p030,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.03,True,llm_only_target_conditioned_v1,True,True,37,0,0.1547000000000001,0.19,0.0,0.0,1.0647205635790191,1.102955956762163,1.0359112000754611,38.0,0.193606148482954,,,,geometry/replay/trials/0017_claw_hammer_llm_only_x+0p000_y-0p030.json
0018_claw_hammer_llm_only_x+0p150_y-0p030,claw_hammer,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.15,-0.03,True,llm_only_target_conditioned_v1,True,True,37,0,0.16541243223944987,0.26747542234450006,0.0,0.0,1.0647205635790191,1.0750726922205094,1.0097228596831942,38.0,0.07144140285469032,,,,geometry/replay/trials/0018_claw_hammer_llm_only_x+0p150_y-0p030.json
0019_mallet_hammer_predefined,mallet_hammer,hammer,swing_down,predefined,0,mallet_hammer,,,,-0.22524112665984283,0.018394144199608897,False,,True,True,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046988733431695934,,,,geometry/replay/trials/0019_mallet_hammer_predefined.json
0020_mallet_hammer_llm_lie_x-0p150_y-0p130,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.15,-0.13,False,,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,,,,geometry/replay/trials/0020_mallet_hammer_llm_lie_x-0p150_y-0p130.json
0021_mallet_hammer_llm_lie_x+0p000_y-0p130,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,-0.13,False,,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,,,,geometry/replay/trials/0021_mallet_hammer_llm_lie_x+0p000_y-0p130.json
0022_mallet_hammer_llm_lie_x+0p150_y-0p130,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.15,-0.13,False,,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.918175067467163e-09,,,,geometry/replay/trials/0022_mallet_hammer_llm_lie_x+0p150_y-0p130.json
0023_mallet_hammer_llm_lie_x-0p150_y-0p080,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.15,-0.08,False,,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,,,,geometry/replay/trials/0023_mallet_hammer_llm_lie_x-0p150_y-0p080.json
