trial_id,object_name,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,error
0000_claw_hammer_llm_lie_x+0p000_y+0p000,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.0,True,True,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0001_mallet_hammer_llm_lie_x+0p000_y+0p000,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,0.0,True,True,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0002_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.0,True,True,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0003_long_screwdriver_llm_lie_x+0p000_y+0p000,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.0,0.0,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0004_short_screwdriver_llm_lie_x+0p000_y+0p000,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.0,0.0,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0005_cylinder_screwdriver_v3009_llm_lie_x+0p000_y+0p000,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.0,0.0,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
