trial_id,geometry_trial_id,object_name,task_name,mode,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json
0011_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,0011_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,True,100.0,100,0.032407407407407406,0.17555554720150143,61.5566385625547,0.13308590323366842,42.03135937005128,0.28054637841263247,101.1060632550749,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0011_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0011_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200/trace.json,claw_hammer,0,True
0012_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,0012_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,True,100.0,100,0.040123456790123455,0.12131469043703891,53.77097206543077,0.09851432004609802,40.906318536459835,0.16830980400625034,89.42111719012628,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0012_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0012_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200/trace.json,claw_hammer,0,True
0013_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,0013_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,True,100.0,100,0.03317535545023697,0.17447023878570053,89.24751494279163,0.14868486242389392,68.99054508639486,0.20396770124828578,132.04986078049905,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0013_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0013_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200/trace.json,claw_hammer,0,True
0014_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,0014_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,True,100.0,100,0.008413461538461538,0.04298208744052279,72.33872798145411,0.03697874243895771,57.59807788277796,0.042384671017339726,138.3254952330112,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0014_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0014_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200/trace.json,claw_hammer,0,True
0015_long_screwdriver_predefined,0015_long_screwdriver_predefined,long_screwdriver,spin_vertical,predefined,0,True,58.0,58,0.0006551648831622625,0.09610866209921871,86.13352744788097,0.08538690470914122,77.94159399857787,0.07654508696693327,16.051159680765558,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0015_long_screwdriver_predefined,experiments/results/thesis_main_6obj_v2/execution/artifacts/0015_long_screwdriver_predefined/trace.json,long_screwdriver,0,True
0016_long_screwdriver_llm_lie_x-0p350_y-0p200,0016_long_screwdriver_llm_lie_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,0.0,0.1612435872408544,95.89464349678563,0.12615684978485656,72.11647942730512,0.33601601916907714,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0016_long_screwdriver_llm_lie_x-0p350_y-0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0016_long_screwdriver_llm_lie_x-0p350_y-0p200/trace.json,long_screwdriver,0,True
0017_long_screwdriver_llm_lie_x+0p350_y-0p200,0017_long_screwdriver_llm_lie_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,0.0,0.16644229575696537,92.30245804699322,0.12098835537597483,66.4533139829,0.42079362105441304,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0017_long_screwdriver_llm_lie_x+0p350_y-0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0017_long_screwdriver_llm_lie_x+0p350_y-0p200/trace.json,long_screwdriver,0,True
0018_long_screwdriver_llm_lie_x-0p350_y+0p200,0018_long_screwdriver_llm_lie_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,0.0,0.1228236887238874,69.8761790163812,0.08837229975196251,55.04178268142665,0.2870073906036929,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0018_long_screwdriver_llm_lie_x-0p350_y+0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0018_long_screwdriver_llm_lie_x-0p350_y+0p200/trace.json,long_screwdriver,0,True
0019_long_screwdriver_llm_lie_x+0p350_y+0p200,0019_long_screwdriver_llm_lie_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,0.004418262150220913,0.14424603290607543,74.50015220688456,0.09458838229530188,57.21703319630982,0.38279726833271954,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0019_long_screwdriver_llm_lie_x+0p350_y+0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0019_long_screwdriver_llm_lie_x+0p350_y+0p200/trace.json,long_screwdriver,0,True
0020_short_screwdriver_predefined,0020_short_screwdriver_predefined,short_screwdriver,spin_vertical,predefined,0,True,100.0,100,0.004624277456647399,0.05395373084106451,57.99555459811657,0.048942083690958184,46.3340862054149,0.06859591842387236,7.862665839962122,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0020_short_screwdriver_predefined,experiments/results/thesis_main_6obj_v2/execution/artifacts/0020_short_screwdriver_predefined/trace.json,short_screwdriver,0,True
0021_short_screwdriver_llm_lie_x-0p350_y-0p200,0021_short_screwdriver_llm_lie_x-0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,0.0,0.1408389447015696,57.53384467832473,0.10887723456604641,49.430530786113884,0.3484654315090038,89.40875413685426,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0021_short_screwdriver_llm_lie_x-0p350_y-0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0021_short_screwdriver_llm_lie_x-0p350_y-0p200/trace.json,short_screwdriver,0,True
0022_short_screwdriver_llm_lie_x+0p350_y-0p200,0022_short_screwdriver_llm_lie_x+0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,0.0,0.15618723238802235,57.235798625674114,0.11591558237816062,48.52642770119937,0.4308248312889178,89.40875413685426,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0022_short_screwdriver_llm_lie_x+0p350_y-0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0022_short_screwdriver_llm_lie_x+0p350_y-0p200/trace.json,short_screwdriver,0,True
0023_short_screwdriver_llm_lie_x-0p350_y+0p200,0023_short_screwdriver_llm_lie_x-0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,0.0,0.14509431521864455,63.51022242415256,0.10086125564017727,54.074450096763876,0.2769078092022895,89.40875413685426,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0023_short_screwdriver_llm_lie_x-0p350_y+0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0023_short_screwdriver_llm_lie_x-0p350_y+0p200/trace.json,short_screwdriver,0,True
0024_short_screwdriver_llm_lie_x+0p350_y+0p200,0024_short_screwdriver_llm_lie_x+0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,True,100.0,100,0.0,0.11214508413473327,86.55805798067396,0.06899078899041304,79.98981740479897,0.3753129535408815,89.40875413685426,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0024_short_screwdriver_llm_lie_x+0p350_y+0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0024_short_screwdriver_llm_lie_x+0p350_y+0p200/trace.json,short_screwdriver,0,True
0025_cylinder_screwdriver_v3009_predefined,0025_cylinder_screwdriver_v3009_predefined,cylinder_screwdriver_v3009,spin_vertical,predefined,0,True,23.0,23,0.002997002997002997,0.2519136253662634,100.2435611901037,0.2173313406446743,84.36237905327368,0.07654508696693327,16.051159680765558,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0025_cylinder_screwdriver_v3009_predefined,experiments/results/thesis_main_6obj_v2/execution/artifacts/0025_cylinder_screwdriver_v3009_predefined/trace.json,long_screwdriver,0,True
0026_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,0026_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,False,0.0,0,0.0,0.2655092822965561,113.19844655080925,0.23767202537734763,86.86868656038448,0.3585012851388849,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0026_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0026_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200/trace.json,long_screwdriver,0,True
0027_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,0027_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,False,0.0,0,0.0,0.3789571175661339,161.8107428488397,0.3609886236981698,158.3188235857381,0.4389574897733075,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0027_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0027_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200/trace.json,long_screwdriver,0,True
0028_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,0028_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,False,0.0,0,0.0,0.3063362685173444,147.74981339111594,0.2823201062071214,141.71782818149057,0.3130329831968816,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0028_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0028_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200/trace.json,long_screwdriver,0,True
0029_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,0029_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,True,44.44444444444444,44,0.0,0.2744718151666301,114.00681815489469,0.21732876771907947,96.40730743995232,0.4026787242343336,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2/execution/artifacts/0029_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,experiments/results/thesis_main_6obj_v2/execution/artifacts/0029_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200/trace.json,long_screwdriver,0,True
