trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,dropped_count,dropped_first_step,object_z_low_count,object_z_low_first_step,geometry_goal_count,execution_goal_count,reference_goal_count,execution_goal_transform,execution_goal_cycle_style,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json,replay_artifact_path
0043_cuboid_hammer_v014_llm_lie_x+0p000_y-0p080_pretrained,0043_cuboid_hammer_v014_llm_lie_x+0p000_y-0p080,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.06394557823129252,0.08832599460025044,37.53154580418915,0.06712903306534038,23.602168571277616,0.11464357783663692,68.83606422687294,0,,0,,12,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0043_cuboid_hammer_v014_llm_lie_x+0p000_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0043_cuboid_hammer_v014_llm_lie_x+0p000_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0043_cuboid_hammer_v014_llm_lie_x+0p000_y-0p080_pretrained.json
0044_cuboid_hammer_v014_llm_lie_x+0p150_y-0p080_pretrained,0044_cuboid_hammer_v014_llm_lie_x+0p150_y-0p080,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.15543684712458586,90.97361456605127,0.1486207936834858,89.76571686477314,0.16620879500239547,113.77788711562356,129,204.0,0,,12,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0044_cuboid_hammer_v014_llm_lie_x+0p150_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0044_cuboid_hammer_v014_llm_lie_x+0p150_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0044_cuboid_hammer_v014_llm_lie_x+0p150_y-0p080_pretrained.json
0045_cuboid_hammer_v014_llm_lie_x-0p150_y-0p030_pretrained,0045_cuboid_hammer_v014_llm_lie_x-0p150_y-0p030,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.19495268259230603,106.62872314477235,0.19371711024045124,105.0489040230618,0.26428103446453705,135.51146957644573,258,1979.0,0,,12,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0045_cuboid_hammer_v014_llm_lie_x-0p150_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0045_cuboid_hammer_v014_llm_lie_x-0p150_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0045_cuboid_hammer_v014_llm_lie_x-0p150_y-0p030_pretrained.json
0046_cuboid_hammer_v014_llm_lie_x+0p000_y-0p030_pretrained,0046_cuboid_hammer_v014_llm_lie_x+0p000_y-0p030,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.03710575139146568,0.08673758322541464,39.55497308242628,0.06619181826485687,26.808042863497104,0.1121844782187713,70.01179882569475,0,,0,,12,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0046_cuboid_hammer_v014_llm_lie_x+0p000_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0046_cuboid_hammer_v014_llm_lie_x+0p000_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0046_cuboid_hammer_v014_llm_lie_x+0p000_y-0p030_pretrained.json
0047_cuboid_hammer_v014_llm_lie_x+0p150_y-0p030_pretrained,0047_cuboid_hammer_v014_llm_lie_x+0p150_y-0p030,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.020477815699658702,0.08121435472991272,35.92546141665697,0.06300851538093184,25.775862122341675,0.11550588370758355,67.06684615478414,0,,0,,12,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0047_cuboid_hammer_v014_llm_lie_x+0p150_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0047_cuboid_hammer_v014_llm_lie_x+0p150_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0047_cuboid_hammer_v014_llm_lie_x+0p150_y-0p030_pretrained.json
0048_cuboid_hammer_v014_llm_only_x-0p150_y-0p130_pretrained,0048_cuboid_hammer_v014_llm_only_x-0p150_y-0p130,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.02631578947368421,0.055588544137435886,29.150052938182903,0.051578405713531145,20.848796203790467,0.27832611093599735,105.9200379522459,0,,0,,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0048_cuboid_hammer_v014_llm_only_x-0p150_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0048_cuboid_hammer_v014_llm_only_x-0p150_y-0p130_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0048_cuboid_hammer_v014_llm_only_x-0p150_y-0p130_pretrained.json
0049_cuboid_hammer_v014_llm_only_x+0p000_y-0p130_pretrained,0049_cuboid_hammer_v014_llm_only_x+0p000_y-0p130,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.03863134657836645,0.055717071203340345,33.51451086188424,0.05084171586895861,24.2355894023068,0.17177886126055383,102.53961186862115,0,,0,,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0049_cuboid_hammer_v014_llm_only_x+0p000_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0049_cuboid_hammer_v014_llm_only_x+0p000_y-0p130_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0049_cuboid_hammer_v014_llm_only_x+0p000_y-0p130_pretrained.json
0050_cuboid_hammer_v014_llm_only_x+0p150_y-0p130_pretrained,0050_cuboid_hammer_v014_llm_only_x+0p150_y-0p130,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0,0.06741823888946644,49.28360045600939,0.06100731997736138,35.30687076282554,0.15261998205803742,144.1858154062356,233,371.0,0,,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0050_cuboid_hammer_v014_llm_only_x+0p150_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0050_cuboid_hammer_v014_llm_only_x+0p150_y-0p130_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0050_cuboid_hammer_v014_llm_only_x+0p150_y-0p130_pretrained.json
0051_cuboid_hammer_v014_llm_only_x-0p150_y-0p080_pretrained,0051_cuboid_hammer_v014_llm_only_x-0p150_y-0p080,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,False,70.27027027027027,70,0.04398826979472141,0.05012788656341396,28.185819057402178,0.04535107369227548,21.602531291560975,0.1343977376650029,131.23910369820803,10119,682.0,9969,832.0,37,37,37,identity,,execution_failure,experiment_timeout,,experiments/results/thesis_main_v3_v3/execution/artifacts/0051_cuboid_hammer_v014_llm_only_x-0p150_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0051_cuboid_hammer_v014_llm_only_x-0p150_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0051_cuboid_hammer_v014_llm_only_x-0p150_y-0p080_pretrained.json
0052_cuboid_hammer_v014_llm_only_x+0p000_y-0p080_pretrained,0052_cuboid_hammer_v014_llm_only_x+0p000_y-0p080,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.001364256480218281,0.07028939039890447,29.703459521171034,0.06613801790842554,22.826917698508623,0.16165354441855528,172.02773511628794,223,733.0,0,,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0052_cuboid_hammer_v014_llm_only_x+0p000_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0052_cuboid_hammer_v014_llm_only_x+0p000_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0052_cuboid_hammer_v014_llm_only_x+0p000_y-0p080_pretrained.json
