trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,hammer_swing_solver,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0014_mallet_hammer_llm_lie_x+0p150_y-0p080,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.15,-0.08,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705173531287226e-08,,,,geometry/replay/trials/0014_mallet_hammer_llm_lie_x+0p150_y-0p080.json
0015_mallet_hammer_llm_lie_x-0p150_y-0p030,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.15,-0.03,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.520920826142872e-09,,,,geometry/replay/trials/0015_mallet_hammer_llm_lie_x-0p150_y-0p030.json
0016_mallet_hammer_llm_lie_x+0p000_y-0p030,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,-0.03,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,geometry/replay/trials/0016_mallet_hammer_llm_lie_x+0p000_y-0p030.json
0017_mallet_hammer_llm_lie_x+0p150_y-0p030,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.15,-0.03,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162273107615528e-08,,,,geometry/replay/trials/0017_mallet_hammer_llm_lie_x+0p150_y-0p030.json
0018_cuboid_hammer_v014_llm_lie_x-0p150_y-0p130,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.15,-0.13,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,,,,geometry/replay/trials/0018_cuboid_hammer_v014_llm_lie_x-0p150_y-0p130.json
0019_cuboid_hammer_v014_llm_lie_x+0p000_y-0p130,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.13,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4500113791919217e-08,,,,geometry/replay/trials/0019_cuboid_hammer_v014_llm_lie_x+0p000_y-0p130.json
0020_cuboid_hammer_v014_llm_lie_x+0p150_y-0p130,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.15,-0.13,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.056121180944956e-09,,,,geometry/replay/trials/0020_cuboid_hammer_v014_llm_lie_x+0p150_y-0p130.json
0021_cuboid_hammer_v014_llm_lie_x-0p150_y-0p080,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.15,-0.08,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.228312453890527e-09,,,,geometry/replay/trials/0021_cuboid_hammer_v014_llm_lie_x-0p150_y-0p080.json
0022_cuboid_hammer_v014_llm_lie_x+0p000_y-0p080,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.08,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5511151231257815e-18,,,,geometry/replay/trials/0022_cuboid_hammer_v014_llm_lie_x+0p000_y-0p080.json
0023_cuboid_hammer_v014_llm_lie_x+0p150_y-0p080,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.15,-0.08,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,geometry/replay/trials/0023_cuboid_hammer_v014_llm_lie_x+0p150_y-0p080.json
0024_cuboid_hammer_v014_llm_lie_x-0p150_y-0p030,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.15,-0.03,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734723475976807e-17,,,,geometry/replay/trials/0024_cuboid_hammer_v014_llm_lie_x-0p150_y-0p030.json
0025_cuboid_hammer_v014_llm_lie_x+0p000_y-0p030,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.03,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4316867291667672e-08,,,,geometry/replay/trials/0025_cuboid_hammer_v014_llm_lie_x+0p000_y-0p030.json
0026_cuboid_hammer_v014_llm_lie_x+0p150_y-0p030,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.15,-0.03,False,,horizontal_head,True,True,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.594315114139762e-17,,,,geometry/replay/trials/0026_cuboid_hammer_v014_llm_lie_x+0p150_y-0p030.json
