trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,hammer_swing_solver,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0014_short_screwdriver_llm_lie_x+0p150_y-0p080,short_screwdriver,screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.15,-0.08,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0014_short_screwdriver_llm_lie_x+0p150_y-0p080.json
0015_short_screwdriver_llm_lie_x-0p150_y-0p030,short_screwdriver,screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.15,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0015_short_screwdriver_llm_lie_x-0p150_y-0p030.json
0016_short_screwdriver_llm_lie_x+0p000_y-0p030,short_screwdriver,screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.0,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0419056990259594e-17,0.0,360.0,,geometry/replay/trials/0016_short_screwdriver_llm_lie_x+0p000_y-0p030.json
0017_short_screwdriver_llm_lie_x+0p150_y-0p030,short_screwdriver,screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.15,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0017_short_screwdriver_llm_lie_x+0p150_y-0p030.json
0018_cylinder_screwdriver_v3009_llm_lie_x-0p150_y-0p130,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.15,-0.13,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0018_cylinder_screwdriver_v3009_llm_lie_x-0p150_y-0p130.json
0019_cylinder_screwdriver_v3009_llm_lie_x+0p000_y-0p130,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.0,-0.13,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794170171962263e-17,0.0,360.0,,geometry/replay/trials/0019_cylinder_screwdriver_v3009_llm_lie_x+0p000_y-0p130.json
0020_cylinder_screwdriver_v3009_llm_lie_x+0p150_y-0p130,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.15,-0.13,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0020_cylinder_screwdriver_v3009_llm_lie_x+0p150_y-0p130.json
0021_cylinder_screwdriver_v3009_llm_lie_x-0p150_y-0p080,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.15,-0.08,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0021_cylinder_screwdriver_v3009_llm_lie_x-0p150_y-0p080.json
0022_cylinder_screwdriver_v3009_llm_lie_x+0p000_y-0p080,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.0,-0.08,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794170171962263e-17,0.0,360.0,,geometry/replay/trials/0022_cylinder_screwdriver_v3009_llm_lie_x+0p000_y-0p080.json
0023_cylinder_screwdriver_v3009_llm_lie_x+0p150_y-0p080,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.15,-0.08,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0023_cylinder_screwdriver_v3009_llm_lie_x+0p150_y-0p080.json
0024_cylinder_screwdriver_v3009_llm_lie_x-0p150_y-0p030,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.15,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0024_cylinder_screwdriver_v3009_llm_lie_x-0p150_y-0p030.json
0025_cylinder_screwdriver_v3009_llm_lie_x+0p000_y-0p030,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.0,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794170171962263e-17,0.0,360.0,,geometry/replay/trials/0025_cylinder_screwdriver_v3009_llm_lie_x+0p000_y-0p030.json
0026_cylinder_screwdriver_v3009_llm_lie_x+0p150_y-0p030,cylinder_screwdriver_v3009,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.15,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0026_cylinder_screwdriver_v3009_llm_lie_x+0p150_y-0p030.json
