trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,geometry_goal_count,execution_goal_count,reference_goal_count,execution_goal_transform,execution_goal_cycle_style,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json,replay_artifact_path
0019_mallet_hammer_predefined_pretrained,0019_mallet_hammer_predefined,mallet_hammer,swing_down,predefined,pretrained,predefined + pretrained,0,False,2.7777777777777777,3,0.0,0.2241685856386713,176.65121939006116,0.2213554366442397,176.45912976530494,0.6813320064421747,119.41873714395541,36,36,36,identity,,execution_failure,object_z_low,,experiments/results/thesis_main_v3_v2/execution/artifacts/0019_mallet_hammer_predefined_pretrained,experiments/results/thesis_main_v3_v2/execution/artifacts/0019_mallet_hammer_predefined_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0019_mallet_hammer_predefined_pretrained.json
0023_mallet_hammer_llm_lie_x-0p150_y-0p080_pretrained,0023_mallet_hammer_llm_lie_x-0p150_y-0p080,mallet_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.009188361408882083,0.08287380260445025,37.47098396826435,0.06473449663617098,24.204057884908067,0.08104220498280974,47.31326099123934,11,36,36,cycle_to_predefined_length,mirrored,,,,experiments/results/debug_trial_0023_mallet_lie_passive_reset/execution/artifacts/0023_mallet_hammer_llm_lie_x-0p150_y-0p080_pretrained,experiments/results/debug_trial_0023_mallet_lie_passive_reset/execution/artifacts/0023_mallet_hammer_llm_lie_x-0p150_y-0p080_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0023_mallet_hammer_llm_lie_x-0p150_y-0p080_pretrained.json
0038_cuboid_hammer_v014_predefined_pretrained,0038_cuboid_hammer_v014_predefined,cuboid_hammer_v014,swing_down,predefined,pretrained,predefined + pretrained,0,False,2.7027027027027026,3,0.0,0.18168774307491403,172.47335099451146,0.1773791634847036,172.4344895079347,0.6602921414835815,175.63095181054658,37,37,37,identity,,execution_failure,object_z_low,,experiments/results/thesis_main_v3_v2/execution/artifacts/0038_cuboid_hammer_v014_predefined_pretrained,experiments/results/thesis_main_v3_v2/execution/artifacts/0038_cuboid_hammer_v014_predefined_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0038_cuboid_hammer_v014_predefined_pretrained.json
0042_cuboid_hammer_v014_llm_lie_x-0p150_y-0p080_pretrained,0042_cuboid_hammer_v014_llm_lie_x-0p150_y-0p080,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,False,97.29729729729729,97,0.0026849365799463012,48519.964851456934,143.9423575761544,33505.720753593596,135.7464088072261,117093.39781654914,174.64908479864488,12,37,37,cycle_to_predefined_length,mirrored,execution_failure,experiment_timeout,,experiments/results/debug_trial_0023_mallet_lie_passive_reset/execution/artifacts/0042_cuboid_hammer_v014_llm_lie_x-0p150_y-0p080_pretrained,experiments/results/debug_trial_0023_mallet_lie_passive_reset/execution/artifacts/0042_cuboid_hammer_v014_llm_lie_x-0p150_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0042_cuboid_hammer_v014_llm_lie_x-0p150_y-0p080_pretrained.json
