trial_id,geometry_trial_id,object_name,task_name,mode,seed,execution_success,goal_completion_pct,peak_success_count,failure_stage,error,artifact_dir
0000_claw_hammer_predefined,0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,0,True,100.0,100,,,experiments/results/thesis_dashboard_smoke/execution/artifacts/0000_claw_hammer_predefined
0005_cylinder_screwdriver_v3009_predefined,0005_cylinder_screwdriver_v3009_predefined,cylinder_screwdriver_v3009,spin_vertical,predefined,0,False,0.0,0,execution_failure,Missing eval.json under experiments/results/thesis_dashboard_smoke/execution/artifacts/0005_cylinder_screwdriver_v3009_predefined,experiments/results/thesis_dashboard_smoke/execution/artifacts/0005_cylinder_screwdriver_v3009_predefined
