trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,geometry_goal_count,execution_goal_count,reference_goal_count,execution_goal_transform,execution_goal_cycle_style,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json,replay_artifact_path
0000_claw_hammer_predefined_pretrained,0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,pretrained,predefined + pretrained,0,True,100.0,100,0.01,0.06118210318799278,18.014265132322436,0.055760454725261074,14.24975571656834,0.07908689457855388,4.4321367066224315,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0000_claw_hammer_predefined_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0000_claw_hammer_predefined_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0000_claw_hammer_predefined_pretrained.json
0001_claw_hammer_llm_lie_x-0p150_y-0p130_pretrained,0001_claw_hammer_llm_lie_x-0p150_y-0p130,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.020227560050568902,0.09202738830698563,44.38855268313388,0.07102762339554067,27.488455672835936,0.18273347674035859,100.53007300457676,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0001_claw_hammer_llm_lie_x-0p150_y-0p130_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0001_claw_hammer_llm_lie_x-0p150_y-0p130_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0001_claw_hammer_llm_lie_x-0p150_y-0p130_pretrained.json
0002_claw_hammer_llm_lie_x+0p000_y-0p130_pretrained,0002_claw_hammer_llm_lie_x+0p000_y-0p130,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0014858841010401188,0.08484796793301473,84.48171106762102,0.0720283217128505,70.01386842146934,0.12209925714921113,91.7216468803073,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0002_claw_hammer_llm_lie_x+0p000_y-0p130_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0002_claw_hammer_llm_lie_x+0p000_y-0p130_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0002_claw_hammer_llm_lie_x+0p000_y-0p130_pretrained.json
0003_claw_hammer_llm_lie_x+0p150_y-0p130_pretrained,0003_claw_hammer_llm_lie_x+0p150_y-0p130,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.011513157894736841,0.11151584197840289,56.43032580212199,0.08984166748692331,42.8625488452238,0.11755993844858979,88.39689415191955,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0003_claw_hammer_llm_lie_x+0p150_y-0p130_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0003_claw_hammer_llm_lie_x+0p150_y-0p130_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0003_claw_hammer_llm_lie_x+0p150_y-0p130_pretrained.json
0004_claw_hammer_llm_lie_x-0p150_y-0p080_pretrained,0004_claw_hammer_llm_lie_x-0p150_y-0p080,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.00834326579261025,0.07882859371278646,41.1017047851559,0.0636217613747301,23.95947621669984,0.15918355627195954,103.89827515193842,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0004_claw_hammer_llm_lie_x-0p150_y-0p080_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0004_claw_hammer_llm_lie_x-0p150_y-0p080_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0004_claw_hammer_llm_lie_x-0p150_y-0p080_pretrained.json
0005_claw_hammer_llm_lie_x+0p000_y-0p080_pretrained,0005_claw_hammer_llm_lie_x+0p000_y-0p080,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.030927835051546393,0.06437877190217886,38.440467913469995,0.054016546683632156,25.80804622707559,0.10872663696432112,93.4220514585841,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0005_claw_hammer_llm_lie_x+0p000_y-0p080_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0005_claw_hammer_llm_lie_x+0p000_y-0p080_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0005_claw_hammer_llm_lie_x+0p000_y-0p080_pretrained.json
0006_claw_hammer_llm_lie_x+0p150_y-0p080_pretrained,0006_claw_hammer_llm_lie_x+0p150_y-0p080,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.03442340791738382,0.06728378101728395,42.6395571994872,0.05461753908800355,29.26246573808763,0.10807292837380525,88.88904346424724,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0006_claw_hammer_llm_lie_x+0p150_y-0p080_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0006_claw_hammer_llm_lie_x+0p150_y-0p080_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0006_claw_hammer_llm_lie_x+0p150_y-0p080_pretrained.json
0007_claw_hammer_llm_lie_x-0p150_y-0p030_pretrained,0007_claw_hammer_llm_lie_x-0p150_y-0p030,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0165016501650165,0.06841092396800731,37.77912180582503,0.05610281734526088,22.982613109160507,0.14218642832724104,108.36292757048093,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0007_claw_hammer_llm_lie_x-0p150_y-0p030_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0007_claw_hammer_llm_lie_x-0p150_y-0p030_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0007_claw_hammer_llm_lie_x-0p150_y-0p030_pretrained.json
0008_claw_hammer_llm_lie_x+0p000_y-0p030_pretrained,0008_claw_hammer_llm_lie_x+0p000_y-0p030,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.02168021680216802,0.07131826988706387,45.305059894823344,0.05853611873783204,30.944692319967206,0.11200121560572575,96.74094134233971,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0008_claw_hammer_llm_lie_x+0p000_y-0p030_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0008_claw_hammer_llm_lie_x+0p000_y-0p030_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0008_claw_hammer_llm_lie_x+0p000_y-0p030_pretrained.json
0009_claw_hammer_llm_lie_x+0p150_y-0p030_pretrained,0009_claw_hammer_llm_lie_x+0p150_y-0p030,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.003527336860670194,0.08764371687794531,69.71391142170998,0.07060239752373038,56.1676632674684,0.11785602869931106,90.17722862938376,9,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v1/execution/artifacts/0009_claw_hammer_llm_lie_x+0p150_y-0p030_pretrained,experiments/results/thesis_main_v3_v1/execution/artifacts/0009_claw_hammer_llm_lie_x+0p150_y-0p030_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0009_claw_hammer_llm_lie_x+0p150_y-0p030_pretrained.json
