trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json,replay_artifact_path
0000_claw_hammer_predefined_pretrained,0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,pretrained,predefined + pretrained,0,True,100.0,100,0.01,0.06118210318799278,18.014265132322436,0.055760454725261074,14.24975571656834,0.07908689457855388,4.4321367066224315,,,,experiments/results/thesis_main_v3/execution/artifacts/0000_claw_hammer_predefined_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0000_claw_hammer_predefined_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0000_claw_hammer_predefined_pretrained.json
0001_claw_hammer_llm_lie_x-0p350_y-0p200_pretrained,0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.02181818181818182,0.19018033992598338,65.6316521733054,0.1532056223435726,50.403092902652055,0.2537147685769969,101.1060632550749,,,,experiments/results/thesis_main_v3/execution/artifacts/0001_claw_hammer_llm_lie_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0001_claw_hammer_llm_lie_x-0p350_y-0p200_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0001_claw_hammer_llm_lie_x-0p350_y-0p200_pretrained.json
0002_claw_hammer_llm_lie_x+0p000_y-0p200_pretrained,0002_claw_hammer_llm_lie_x+0p000_y-0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.004310344827586207,0.09780006597886907,53.34022654798382,0.08023408440155534,38.97772764069809,0.13551987168646998,91.08204866267808,,,,experiments/results/thesis_main_v3/execution/artifacts/0002_claw_hammer_llm_lie_x+0p000_y-0p200_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0002_claw_hammer_llm_lie_x+0p000_y-0p200_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0002_claw_hammer_llm_lie_x+0p000_y-0p200_pretrained.json
0003_claw_hammer_llm_lie_x+0p350_y-0p200_pretrained,0003_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.011061946902654867,0.10528676644410154,72.25934015011575,0.09268313130965798,60.63048020850662,0.14156949975558739,89.42111719012628,,,,experiments/results/thesis_main_v3/execution/artifacts/0003_claw_hammer_llm_lie_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0003_claw_hammer_llm_lie_x+0p350_y-0p200_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0003_claw_hammer_llm_lie_x+0p350_y-0p200_pretrained.json
0004_claw_hammer_llm_lie_x-0p350_y+0p000_pretrained,0004_claw_hammer_llm_lie_x-0p350_y+0p000,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.1196355175389609,63.96281939090043,0.09239728275809617,48.55360645583004,0.17756508973089297,113.21776304889309,,,,experiments/results/thesis_main_v3/execution/artifacts/0004_claw_hammer_llm_lie_x-0p350_y+0p000_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0004_claw_hammer_llm_lie_x-0p350_y+0p000_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0004_claw_hammer_llm_lie_x-0p350_y+0p000_pretrained.json
0005_claw_hammer_llm_lie_x+0p000_y+0p000_pretrained,0005_claw_hammer_llm_lie_x+0p000_y+0p000,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.061224489795918366,0.03968842224677116,54.86795597062875,0.03637644027542829,45.85222574722177,0.02679997125154507,100.33617865714648,,,,experiments/results/thesis_main_v3/execution/artifacts/0005_claw_hammer_llm_lie_x+0p000_y+0p000_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0005_claw_hammer_llm_lie_x+0p000_y+0p000_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0005_claw_hammer_llm_lie_x+0p000_y+0p000_pretrained.json
0006_claw_hammer_llm_lie_x+0p350_y+0p000_pretrained,0006_claw_hammer_llm_lie_x+0p350_y+0p000,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.04956268221574344,0.03892681704531897,69.63624978122273,0.034426935320741765,58.45069107713205,0.02690344645900757,97.43274139320599,,,,experiments/results/thesis_main_v3/execution/artifacts/0006_claw_hammer_llm_lie_x+0p350_y+0p000_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0006_claw_hammer_llm_lie_x+0p350_y+0p000_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0006_claw_hammer_llm_lie_x+0p350_y+0p000_pretrained.json
0007_claw_hammer_llm_lie_x-0p350_y+0p200_pretrained,0007_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.041353383458646614,0.11561102299615114,66.92987843643387,0.08969018276759251,45.602798987085116,0.17718584076747262,132.04986078049905,,,,experiments/results/thesis_main_v3/execution/artifacts/0007_claw_hammer_llm_lie_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0007_claw_hammer_llm_lie_x-0p350_y+0p200_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0007_claw_hammer_llm_lie_x-0p350_y+0p200_pretrained.json
0008_claw_hammer_llm_lie_x+0p000_y+0p200_pretrained,0008_claw_hammer_llm_lie_x+0p000_y+0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.026392961876832845,0.03675364986952701,70.80708313200194,0.03445299890804173,53.022390730398364,0.026792294488712374,149.41660202486491,,,,experiments/results/thesis_main_v3/execution/artifacts/0008_claw_hammer_llm_lie_x+0p000_y+0p200_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0008_claw_hammer_llm_lie_x+0p000_y+0p200_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0008_claw_hammer_llm_lie_x+0p000_y+0p200_pretrained.json
0009_claw_hammer_llm_lie_x+0p350_y+0p200_pretrained,0009_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.03634888099432978,74.75049347560456,0.03300001397197808,57.73599298887555,0.02689617479500274,138.3254952330112,,,,experiments/results/thesis_main_v3/execution/artifacts/0009_claw_hammer_llm_lie_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_v3/execution/artifacts/0009_claw_hammer_llm_lie_x+0p350_y+0p200_pretrained/trace.json,claw_hammer,0.0,True,execution/replay/trials/0009_claw_hammer_llm_lie_x+0p350_y+0p200_pretrained.json
